Date,Open,High,Low,Close,Adj Close,Volume
2017-07-07,18350.000000,18550.000000,18325.000000,18500.000000,17703.326172,16452000
2017-07-10,18500.000000,18650.000000,18250.000000,18300.000000,17511.939453,8101200
2017-07-11,18325.000000,18450.000000,18250.000000,18325.000000,17535.861328,12320700
2017-07-12,18200.000000,18475.000000,18100.000000,18425.000000,17631.556641,17839300
2017-07-13,18500.000000,18525.000000,18275.000000,18500.000000,17703.326172,12891200
2017-07-14,18550.000000,18550.000000,18300.000000,18400.000000,17607.632813,8340000
2017-07-17,18250.000000,18400.000000,18250.000000,18300.000000,17511.939453,12340400
2017-07-18,18200.000000,18350.000000,18175.000000,18350.000000,17559.783203,7811300
2017-07-19,18350.000000,18475.000000,18300.000000,18475.000000,17679.402344,9011500
2017-07-20,18475.000000,18500.000000,18350.000000,18450.000000,17655.478516,11958000
2017-07-21,18450.000000,18475.000000,18225.000000,18225.000000,17440.167969,5087700
2017-07-24,18350.000000,18625.000000,18200.000000,18575.000000,17775.093750,18356200
2017-07-25,18650.000000,18675.000000,18400.000000,18575.000000,17775.093750,12895900
2017-07-26,18650.000000,18900.000000,18550.000000,18775.000000,17966.484375,23616200
2017-07-27,18775.000000,18850.000000,18700.000000,18800.000000,17990.404297,12681900
2017-07-28,19000.000000,19000.000000,18700.000000,18800.000000,17990.404297,16947000
2017-07-31,18600.000000,18825.000000,18575.000000,18700.000000,17894.710938,13062200
2017-08-01,18875.000000,18975.000000,18725.000000,18925.000000,18110.019531,17762000
2017-08-02,18925.000000,18975.000000,18825.000000,18925.000000,18110.019531,12536300
2017-08-03,19050.000000,19050.000000,18550.000000,18750.000000,17942.558594,8783500
2017-08-04,18750.000000,18750.000000,18550.000000,18575.000000,17775.093750,14001400
2017-08-07,18750.000000,18750.000000,18575.000000,18625.000000,17822.941406,11521800
2017-08-08,18700.000000,19050.000000,18700.000000,19000.000000,18181.792969,11602600
2017-08-09,19025.000000,19025.000000,18750.000000,18975.000000,18157.869141,12467100
2017-08-10,19050.000000,19050.000000,18725.000000,18825.000000,18014.328125,7693300
2017-08-11,18725.000000,18825.000000,18575.000000,18675.000000,17870.787109,13767400
2017-08-14,18675.000000,18825.000000,18650.000000,18750.000000,17942.558594,6450800
2017-08-15,18700.000000,18800.000000,18500.000000,18675.000000,17870.787109,8562800
2017-08-16,18725.000000,18925.000000,18650.000000,18900.000000,18086.097656,10837700
2017-08-17,18900.000000,18900.000000,18900.000000,18900.000000,18086.097656,0
2017-08-18,18750.000000,18900.000000,18625.000000,18700.000000,17894.710938,10888700
2017-08-21,18800.000000,18825.000000,18700.000000,18800.000000,17990.404297,4146800
2017-08-22,18800.000000,18875.000000,18800.000000,18800.000000,17990.404297,7163400
2017-08-23,18900.000000,19150.000000,18850.000000,19150.000000,18325.332031,9715300
2017-08-24,19150.000000,19150.000000,18875.000000,18950.000000,18133.947266,11528200
2017-08-25,19100.000000,19200.000000,18975.000000,19100.000000,18277.484375,8771100
2017-08-28,18900.000000,19100.000000,18875.000000,19075.000000,18253.560547,5768100
2017-08-29,19050.000000,19075.000000,18900.000000,19075.000000,18253.560547,6431000
2017-08-30,19200.000000,19200.000000,18925.000000,19100.000000,18277.484375,8450800
2017-08-31,18950.000000,19200.000000,18950.000000,18950.000000,18133.947266,13122100
2017-09-01,18950.000000,18950.000000,18950.000000,18950.000000,18133.947266,0
2017-09-04,18975.000000,19000.000000,18700.000000,18875.000000,18062.175781,7442700
2017-09-05,19000.000000,19000.000000,18675.000000,19000.000000,18181.792969,14740300
2017-09-06,19000.000000,19025.000000,18800.000000,18900.000000,18086.097656,11954200
